"";"GTY_Code";"Flag_CTY_Code";"TFN";"GAR_Code";"Calendar_Year";"AFE_ID";"Month";"Target_TXN_Code";"FAC_Code";"VSZ_Code";"Fishing_Hours";"Fishing_Days";"Vessel_Count";"Haul_Count";"Hook_Count";"Pot_Count";"CC_Season";"Split_Year";"Location";"GTY_rev"
"2796";"OT";"SUN";7;"483";1980;680;NA;"KRI";"C";NA;NA;NA;NA;NA;NA;NA;1980;1980;"B";"OTB"
"2833";"OTB";"AUS";2;"5852";1990;3324;5;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1990;1990;"B";"OTB"
"2834";"OTB";"AUS";2;"5852";1990;3325;6;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1990;1990;"B";"OTB"
"2835";"OTB";"AUS";2;"5852";1992;3326;1;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1992;1992;"B";"OTB"
"2836";"OTB";"AUS";2;"5852";1992;3327;2;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1992;1992;"B";"OTB"
"2837";"OTB";"AUS";2;"5852";1993;1694;10;"ANI";"S";11;NA;NA;1;NA;NA;NA;1993;1994;"B";"OTB"
"2839";"OTB";"AUS";2;"5852";1993;1692;8;"ANI";"S";11;NA;NA;1;NA;NA;NA;1993;1994;"B";"OTB"
"2861";"OTB";"AUS";2;"5852";2000;3328;2;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;2000;2000;"B";"OTB"
"2944";"OTB";"AUS";3;"5842";1991;3329;2;"TOT";"C";NA;NA;NA;NA;NA;NA;NA;1991;1991;"B";"OTB"
"2946";"OTB";"AUS";3;"5842";2001;3330;2;"TOT";"C";NA;NA;NA;NA;NA;NA;NA;2001;2001;"B";"OTB"
"2950";"OTB";"AUS";3;"5843";1999;3331;4;"TOT";"C";NA;NA;NA;NA;NA;NA;NA;1999;1999;"B";"OTB"
"2951";"OTB";"AUS";3;"5852";1990;3333;6;"TOT";"C";NA;NA;NA;NA;NA;NA;NA;1990;1990;"B";"OTB"
"2952";"OTB";"AUS";3;"5852";1990;3332;5;"TOT";"C";NA;NA;NA;NA;NA;NA;NA;1990;1990;"B";"OTB"
"2953";"OTB";"AUS";3;"5852";1992;3335;2;"TOT";"C";NA;NA;NA;NA;NA;NA;NA;1992;1992;"B";"OTB"
"2954";"OTB";"AUS";3;"5852";1992;3334;1;"TOT";"C";NA;NA;NA;NA;NA;NA;NA;1992;1992;"B";"OTB"
"3117";"OTB";"DDR";1;"483";1977;177;5;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1977;1977;"B";"OTB"
"3120";"OTB";"DDR";1;"483";1977;178;6;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1977;1977;"B";"OTB"
